Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Disease_Type
1,17,18,20,19,38,32,26,21,22,21,18,11,Acute
1,17,30,20,19,38,32,26,21,22,21,18,11,Acute
1,17,30,24,19,38,32,26,21,22,21,18,11,Acute
12,11,46,39,24,17,1,18,6,6,11,18,11,Acute
12,31,32,28,21,1,21,8,7,14,21,18,11,Acute
12,11,32,28,21,1,21,8,7,14,21,18,11,Acute
12,11,46,28,21,1,21,8,7,14,21,18,11,Acute
12,11,46,39,21,1,21,8,7,14,21,18,11,Acute
12,11,46,39,24,1,21,8,7,14,21,18,11,Acute
12,11,46,39,24,17,21,8,7,14,21,18,11,Acute
12,11,46,39,24,17,1,8,7,14,21,18,11,Acute
12,11,46,39,24,17,1,18,7,14,21,18,11,Acute
17,28,38,16,10,38,32,26,21,22,21,18,11,Acute
17,27,13,17,19,38,32,26,21,22,21,18,11,Acute
17,28,13,17,19,38,32,26,21,22,21,18,11,Acute
17,28,38,17,19,38,32,26,21,22,21,18,11,Acute
17,28,38,16,19,38,32,26,21,22,21,18,11,Acute
6,11,11,24,4,10,19,26,21,22,21,18,11,Acute
6,9,18,7,16,23,32,26,21,22,21,18,11,Acute
6,11,18,7,16,23,32,26,21,22,21,18,11,Acute
6,11,11,7,16,23,32,26,21,22,21,18,11,Acute
6,11,11,24,16,23,32,26,21,22,21,18,11,Acute
6,11,11,24,4,23,32,26,21,22,21,18,11,Acute
6,11,11,24,4,10,32,26,21,22,21,18,11,Acute
23,12,8,19,26,19,32,26,21,22,21,18,11,Acute
23,5,14,30,23,38,32,26,21,22,21,18,11,Acute
23,12,14,30,23,38,32,26,21,22,21,18,11,Acute
23,12,8,30,23,38,32,26,21,22,21,18,11,Acute
23,12,8,19,23,38,32,26,21,22,21,18,11,Acute
23,12,8,19,26,38,32,26,21,22,21,18,11,Acute
30,0,19,23,3,9,25,5,8,20,21,18,11,Acute
30,14,17,6,14,29,6,12,18,22,21,18,11,Acute
30,0,17,6,14,29,6,12,18,22,21,18,11,Acute
30,0,19,6,14,29,6,12,18,22,21,18,11,Acute
30,0,19,23,14,29,6,12,18,22,21,18,11,Acute
30,0,19,23,3,29,6,12,18,22,21,18,11,Acute
30,0,19,23,3,9,6,12,18,22,21,18,11,Acute
30,0,19,23,3,9,25,12,18,22,21,18,11,Acute
30,0,19,23,3,9,25,5,18,22,21,18,11,Acute
30,0,19,23,3,9,25,5,8,22,21,18,11,Acute
7,1,43,34,13,22,32,26,21,22,21,18,11,Acute
7,29,26,19,26,38,32,26,21,22,21,18,11,Acute
7,1,26,19,26,38,32,26,21,22,21,18,11,Acute
7,1,43,19,26,38,32,26,21,22,21,18,11,Acute
7,1,43,34,26,38,32,26,21,22,21,18,11,Acute
7,1,43,34,13,38,32,26,21,22,21,18,11,Acute
32,28,17,51,1,38,32,26,21,22,21,18,11,Acute
32,12,44,1,19,38,32,26,21,22,21,18,11,Acute
32,28,44,1,19,38,32,26,21,22,21,18,11,Acute
32,28,17,1,19,38,32,26,21,22,21,18,11,Acute
32,28,17,51,19,38,32,26,21,22,21,18,11,Acute
28,33,42,21,46,13,31,4,0,22,21,18,11,Acute
28,28,15,52,19,37,5,0,21,22,21,18,11,Acute
28,33,15,52,19,37,5,0,21,22,21,18,11,Acute
28,33,42,52,19,37,5,0,21,22,21,18,11,Acute
28,33,42,21,19,37,5,0,21,22,21,18,11,Acute
28,33,42,21,46,37,5,0,21,22,21,18,11,Acute
28,33,42,21,46,13,5,0,21,22,21,18,11,Acute
28,33,42,21,46,13,31,0,21,22,21,18,11,Acute
28,33,42,21,46,13,31,4,21,22,21,18,11,Acute
29,6,42,24,40,12,20,16,21,22,21,18,11,Acute
29,6,42,24,40,12,20,6,12,22,21,18,11,Acute
29,28,18,45,18,24,7,16,21,22,21,18,11,Acute
29,6,18,45,18,24,7,16,21,22,21,18,11,Acute
29,6,42,45,18,24,7,16,21,22,21,18,11,Acute
29,6,42,24,18,24,7,16,21,22,21,18,11,Acute
29,6,42,24,40,24,7,16,21,22,21,18,11,Acute
29,6,42,24,40,12,7,16,21,22,21,18,11,Acute
8,33,35,21,24,13,12,13,11,16,7,12,11,Acute
8,24,15,28,19,12,17,15,17,9,13,18,11,Acute
8,33,15,28,19,12,17,15,17,9,13,18,11,Acute
8,33,35,28,19,12,17,15,17,9,13,18,11,Acute
8,33,35,21,19,12,17,15,17,9,13,18,11,Acute
8,33,35,21,24,12,17,15,17,9,13,18,11,Acute
8,33,35,21,24,13,17,15,17,9,13,18,11,Acute
8,33,35,21,24,13,12,15,17,9,13,18,11,Acute
8,33,35,21,24,13,12,13,17,9,13,18,11,Acute
8,33,35,21,24,13,12,13,11,9,13,18,11,Acute
11,24,9,26,44,11,13,11,14,8,10,2,4,Acute
11,24,9,26,44,11,13,11,14,8,10,2,3,Acute
11,6,20,49,17,13,12,17,9,12,2,7,4,Acute
11,24,20,49,17,13,12,17,9,12,2,7,4,Acute
11,24,9,49,17,13,12,17,9,12,2,7,4,Acute
11,24,9,26,17,13,12,17,9,12,2,7,4,Acute
11,24,9,26,44,13,12,17,9,12,2,7,4,Acute
11,24,9,26,44,11,12,17,9,12,2,7,4,Acute
37,6,42,21,19,24,4,0,3,19,3,18,11,Acute
37,6,42,21,19,12,4,0,3,19,3,18,11,Acute
37,6,42,21,19,12,20,0,3,19,3,18,11,Acute
37,6,42,21,19,12,20,3,3,19,3,18,11,Acute
37,6,42,21,19,12,20,3,0,19,3,18,11,Acute
37,6,42,21,19,12,20,3,0,3,3,18,11,Acute
37,6,42,21,19,12,20,3,0,3,19,18,11,Acute
37,6,42,21,19,12,20,3,0,3,19,3,11,Acute
37,6,15,24,18,24,4,0,3,19,3,18,11,Acute
40,15,42,53,9,24,17,0,3,10,20,8,11,Acute
40,28,47,15,29,21,0,6,11,21,9,18,11,Acute
40,15,47,15,29,21,0,6,11,21,9,18,11,Acute
40,15,42,15,29,21,0,6,11,21,9,18,11,Acute
40,15,42,53,29,21,0,6,11,21,9,18,11,Acute
40,15,42,53,9,21,0,6,11,21,9,18,11,Acute
40,15,42,53,9,24,0,6,11,21,9,18,11,Acute
40,15,42,53,9,24,17,6,11,21,9,18,11,Acute
40,15,42,53,9,24,17,0,11,21,9,18,11,Acute
19,33,15,28,49,5,17,0,19,21,7,10,6,Acute
19,11,22,53,9,21,0,24,20,9,12,11,11,Acute
19,33,22,53,9,21,0,24,20,9,12,11,11,Acute
19,33,15,53,9,21,0,24,20,9,12,11,11,Acute
19,33,15,28,9,21,0,24,20,9,12,11,11,Acute
19,33,15,28,49,21,0,24,20,9,12,11,11,Acute
19,33,15,28,49,5,0,24,20,9,12,11,11,Acute
19,33,15,28,49,5,17,24,20,9,12,11,11,Acute
19,33,15,28,49,5,17,0,20,9,12,11,11,Acute
20,11,47,33,25,10,32,26,21,22,21,18,11,Acute
20,11,47,33,25,36,9,26,21,22,21,18,11,Acute
20,32,25,29,48,10,32,26,21,22,21,18,11,Acute
20,11,25,29,48,10,32,26,21,22,21,18,11,Acute
20,11,47,29,48,10,32,26,21,22,21,18,11,Acute
20,11,47,33,48,10,32,26,21,22,21,18,11,Acute
20,11,47,33,25,36,32,26,21,22,21,18,11,Acute
21,15,42,21,49,5,20,13,0,21,21,18,11,Acute
21,28,15,53,9,24,17,0,20,22,21,18,11,Acute
21,15,15,53,9,24,17,0,20,22,21,18,11,Acute
21,15,42,53,9,24,17,0,20,22,21,18,11,Acute
21,15,42,21,9,24,17,0,20,22,21,18,11,Acute
21,15,42,21,49,24,17,0,20,22,21,18,11,Acute
21,15,42,21,49,5,17,0,20,22,21,18,11,Acute
21,15,42,21,49,5,20,0,20,22,21,18,11,Acute
21,15,42,21,49,5,20,13,20,22,21,18,11,Acute
21,15,42,21,49,5,20,13,0,22,21,18,11,Acute
22,15,42,21,19,37,5,17,9,0,20,4,9,Acute
22,15,42,21,19,37,5,17,9,0,20,1,1,Acute
22,28,15,24,49,5,20,13,0,21,1,4,9,Acute
22,15,15,24,49,5,20,13,0,21,1,4,9,Acute
22,15,42,24,49,5,20,13,0,21,1,4,9,Acute
22,15,42,21,49,5,20,13,0,21,1,4,9,Acute
22,15,42,21,19,5,20,13,0,21,1,4,9,Acute
22,15,42,21,19,37,20,13,0,21,1,4,9,Acute
22,15,42,21,19,37,5,13,0,21,1,4,9,Acute
3,28,47,0,42,7,14,10,21,22,21,18,11,Acute
3,32,0,47,12,14,11,26,21,22,21,18,11,Acute
3,28,0,47,12,14,11,26,21,22,21,18,11,Acute
3,28,47,47,12,14,11,26,21,22,21,18,11,Acute
3,28,47,0,12,14,11,26,21,22,21,18,11,Acute
3,28,47,0,42,14,11,26,21,22,21,18,11,Acute
3,28,47,0,42,7,11,26,21,22,21,18,11,Acute
3,28,47,0,42,7,14,26,21,22,21,18,11,Acute
36,6,42,21,46,4,13,2,16,8,8,17,10,Acute
36,28,15,52,8,13,2,22,9,10,20,16,3,Acute
36,6,15,52,8,13,2,22,9,10,20,16,3,Acute
36,6,42,52,8,13,2,22,9,10,20,16,3,Acute
36,6,42,21,8,13,2,22,9,10,20,16,3,Acute
36,6,42,21,46,13,2,22,9,10,20,16,3,Acute
36,6,42,21,46,4,2,22,9,10,20,16,3,Acute
36,6,42,21,46,4,13,22,9,10,20,16,3,Acute
36,6,42,21,46,4,13,2,9,10,20,16,3,Acute
10,8,9,21,8,13,12,23,10,13,18,13,8,Acute
10,6,15,14,19,12,27,14,15,18,14,15,7,Acute
10,8,15,14,19,12,27,14,15,18,14,15,7,Acute
10,8,9,14,19,12,27,14,15,18,14,15,7,Acute
10,8,9,21,19,12,27,14,15,18,14,15,7,Acute
10,8,9,21,8,12,27,14,15,18,14,15,7,Acute
10,8,9,21,8,13,27,14,15,18,14,15,7,Acute
10,8,9,21,8,13,12,14,15,18,14,15,7,Acute
10,8,9,21,8,13,12,23,15,18,14,15,7,Acute
34,6,15,14,19,2,26,14,2,5,15,18,11,Acute
34,6,15,14,19,2,26,14,15,2,5,14,11,Acute
34,11,11,24,4,30,18,19,2,5,15,18,11,Acute
34,6,11,24,4,30,18,19,2,5,15,18,11,Acute
34,6,15,24,4,30,18,19,2,5,15,18,11,Acute
34,6,15,14,4,30,18,19,2,5,15,18,11,Acute
34,6,15,14,19,30,18,19,2,5,15,18,11,Acute
34,6,15,14,19,2,18,19,2,5,15,18,11,Acute
34,6,15,14,19,2,26,19,2,5,15,18,11,Acute
13,7,28,37,2,18,32,26,21,22,21,18,11,Acute
13,20,29,5,22,38,32,26,21,22,21,18,11,Acute
13,7,29,5,22,38,32,26,21,22,21,18,11,Acute
13,7,28,5,22,38,32,26,21,22,21,18,11,Acute
13,7,28,37,22,38,32,26,21,22,21,18,11,Acute
13,7,28,37,2,38,32,26,21,22,21,18,11,Acute
18,28,6,45,6,38,32,26,21,22,21,18,11,Acute
18,3,39,10,19,38,32,26,21,22,21,18,11,Acute
18,28,39,10,19,38,32,26,21,22,21,18,11,Acute
18,28,6,10,19,38,32,26,21,22,21,18,11,Acute
18,28,6,45,19,38,32,26,21,22,21,18,11,Acute
39,11,12,8,30,33,28,20,21,22,21,18,11,Acute
39,10,7,36,43,32,23,26,21,22,21,18,11,Acute
39,11,7,36,43,32,23,26,21,22,21,18,11,Acute
39,11,12,36,43,32,23,26,21,22,21,18,11,Acute
39,11,12,8,43,32,23,26,21,22,21,18,11,Acute
39,11,12,8,30,32,23,26,21,22,21,18,11,Acute
39,11,12,8,30,33,23,26,21,22,21,18,11,Acute
39,11,12,8,30,33,28,26,21,22,21,18,11,Acute
26,11,45,12,27,20,8,21,5,1,17,5,2,Acute
26,30,10,31,24,8,24,7,1,17,4,6,0,Acute
26,11,10,31,24,8,24,7,1,17,4,6,0,Acute
26,11,45,31,24,8,24,7,1,17,4,6,0,Acute
26,11,45,12,24,8,24,7,1,17,4,6,0,Acute
26,11,45,12,27,8,24,7,1,17,4,6,0,Acute
26,11,45,12,27,20,24,7,1,17,4,6,0,Acute
26,11,45,12,27,20,8,7,1,17,4,6,0,Acute
24,11,24,52,34,30,7,9,6,11,6,0,11,Acute
24,16,46,39,40,6,10,8,13,7,0,18,11,Acute
24,11,46,39,40,6,10,8,13,7,0,18,11,Acute
24,11,24,39,40,6,10,8,13,7,0,18,11,Acute
24,11,24,52,40,6,10,8,13,7,0,18,11,Acute
24,11,24,52,34,6,10,8,13,7,0,18,11,Acute
24,11,24,52,34,30,10,8,13,7,0,18,11,Acute
24,11,24,52,34,30,7,8,13,7,0,18,11,Acute
24,11,24,52,34,30,7,9,13,7,0,18,11,Acute
25,28,15,2,40,12,20,1,6,15,6,9,11,Acute
25,28,15,2,40,12,20,1,6,4,16,6,5,Acute
25,11,2,45,18,24,1,8,4,15,6,9,11,Acute
25,28,2,45,18,24,1,8,4,15,6,9,11,Acute
25,28,15,45,18,24,1,8,4,15,6,9,11,Acute
25,28,15,2,18,24,1,8,4,15,6,9,11,Acute
25,28,15,2,40,24,1,8,4,15,6,9,11,Acute
25,28,15,2,40,12,1,8,4,15,6,9,11,Acute
25,28,15,2,40,12,20,8,4,15,6,9,11,Acute
31,15,26,27,20,31,22,26,21,22,21,18,11,Acute
31,19,21,25,41,25,32,26,21,22,21,18,11,Acute
31,15,21,25,41,25,32,26,21,22,21,18,11,Acute
31,15,26,25,41,25,32,26,21,22,21,18,11,Acute
31,15,26,27,41,25,32,26,21,22,21,18,11,Acute
31,15,26,27,20,25,32,26,21,22,21,18,11,Acute
31,15,26,27,20,31,32,26,21,22,21,18,11,Acute
5,18,36,46,28,25,32,26,21,22,21,18,11,Acute
5,25,40,32,31,38,32,26,21,22,21,18,11,Acute
5,18,40,32,31,38,32,26,21,22,21,18,11,Acute
5,18,36,32,31,38,32,26,21,22,21,18,11,Acute
5,18,36,46,31,38,32,26,21,22,21,18,11,Acute
5,18,36,46,28,38,32,26,21,22,21,18,11,Acute
0,28,17,33,38,22,29,26,21,22,21,18,11,Acute
0,12,25,43,26,34,32,26,21,22,21,18,11,Acute
0,28,25,43,26,34,32,26,21,22,21,18,11,Acute
0,28,17,43,26,34,32,26,21,22,21,18,11,Acute
0,28,17,33,26,34,32,26,21,22,21,18,11,Acute
0,28,17,33,38,34,32,26,21,22,21,18,11,Acute
0,28,17,33,38,22,32,26,21,22,21,18,11,Acute
2,24,31,3,35,38,32,26,21,22,21,18,11,Acute
2,22,3,40,19,38,32,26,21,22,21,18,11,Acute
2,24,3,40,19,38,32,26,21,22,21,18,11,Acute
2,24,31,40,19,38,32,26,21,22,21,18,11,Acute
2,24,31,3,19,38,32,26,21,22,21,18,11,Acute
38,4,4,22,7,38,32,26,21,22,21,18,11,Acute
38,2,16,13,19,38,32,26,21,22,21,18,11,Acute
38,4,16,13,19,38,32,26,21,22,21,18,11,Acute
38,4,4,13,19,38,32,26,21,22,21,18,11,Acute
38,4,4,22,19,38,32,26,21,22,21,18,11,Acute
35,24,20,42,36,27,15,26,21,22,21,18,11,Acute
35,15,34,41,37,15,32,26,21,22,21,18,11,Acute
35,24,34,41,37,15,32,26,21,22,21,18,11,Acute
35,24,20,41,37,15,32,26,21,22,21,18,11,Acute
35,24,20,42,37,15,32,26,21,22,21,18,11,Acute
35,24,20,42,36,15,32,26,21,22,21,18,11,Acute
35,24,20,42,36,27,32,26,21,22,21,18,11,Acute
27,24,18,4,33,35,32,26,21,22,21,18,11,Acute
27,13,5,38,47,38,32,26,21,22,21,18,11,Acute
27,24,5,38,47,38,32,26,21,22,21,18,11,Acute
27,24,18,38,47,38,32,26,21,22,21,18,11,Acute
27,24,18,4,47,38,32,26,21,22,21,18,11,Acute
27,24,18,4,33,38,32,26,21,22,21,18,11,Acute
